bill_id,bill_number,sponsor_name,chamber_type,sponsor_party,sponsor_state,sponsor_constituency,is_primary
5f1740c1-eb8b-4707-a158-935306482559,SB 209,Sen. Saliu Mustapha,Senate,APC,Kwara,,Yes
b8f0653a-7e00-41c4-a146-04510b8a9818,SB 758,Sen. Barau Jibrin,Senate,APC,Kano,,Yes
4ae84145-d1fd-4d89-af74-23d1b9fe73bb,SB 512,Sen. Seriake Henry Dickson,Senate,PDP,Bayelsa,,Yes
a15acb5b-3f63-48a1-8fa4-e7edae88c7a4,HB 108,Hon Adewunmi Oriyomi Onanuga,House,APC,Ogun,Ikenne/Sagamu/Remo North,Yes
42d0603a-23e9-4294-bd45-6b544de21da3,HB 1000,Patrick Umoh,House,APC,Akwa Ibom,Ikot Ekpene/Essien Udim/ Obot Akara,Yes
1c657f5b-2502-4c8b-add4-51921b768712,SB 87,Sen. Barinada Barry Mpigi,Senate,PDP,Rivers,,Yes
25ab817e-8fd9-428c-a520-19ba1019e459,SB 88,"Sen. Asuquo, Ekpenyong",Senate,APC,Cross River,,Yes
5486ee4e-08b4-4da9-9393-898f977c5932,HB 658,Hon Ozurigbo Ugonna,House,APC,Imo,Isu/Njaba/Nkwerre/Nwangele,Yes
e2f4e826-5a57-4401-be3a-410abe195bf9,HB 315,Hon Benjamin Kalu,House,APC,Abia,Bende,Yes
b117d2dc-e0aa-41b9-80ec-a26c8203eab5,HB 1342,Patrick Umoh,House,APC,Akwa Ibom,Ikot Ekpene/Essien Udim/ Obot Akara,Yes
d305775c-78ce-4ca4-93ae-d86d1acf9e9f,HB 2725,Hon Abdussamad Ibrahim Dasuki,House,PDP,Sokoto,Kebbe/Tambuwal,Yes
47d009e8-e586-4fa0-afb7-3cf1203764ca,SB 236,Sen. Tony Nwoye,Senate,ADC,Anambra,,Yes
60747110-4942-421c-939c-276169405835,HB 2396,Hon Gagdi Adamu Yusuf,House,APC,Plateau,Kanke/Pankshin/Kanam,Yes
b522199f-54d4-429d-a286-c1e2ae42eff5,HB 314,Hon Benjamin Kalu,House,APC,Abia,Bende,Yes
1f50c072-ac74-48d8-9502-ce002a4ce6cc,HB 466,Hon Dachung Musa Bagos,House,PDP,Plateau,Jos South/Jos East,Yes
12ffe930-78ee-4e2d-a37d-cd6917f4fcf9,HB 2091,Isa Mohammed Anka,House,APC,Katsina,Anka/Talata Mafara,Yes
1dce667d-d52c-49cb-8123-158f0dac9521,HB 2161,Hon Sada Soli,House,APC,Katsina,Jibia/Kaita,Yes
0a59d151-9eaa-4d80-808b-6e7a7ee44cc7,HB 302,Hon Ozurigbo Ugonna,House,APC,Imo,Isu/Njaba/Nkwerre/Nwangele,Yes
8738d6a0-871c-4395-84d2-a00f153986f7,HB 428,Hon Ozurigbo Ugonna,House,APC,Imo,Isu/Njaba/Nkwerre/Nwangele,Yes
3bec2b99-c696-41f4-a128-cfed8c782e86,HB 2145,Hon Adebayo Olusegun Balogun,House,APC,Lagos,Ibeju Lekki,Yes
9c704375-c0d3-4023-8064-51e9658ff280,HB 2171,Hon Adebayo Olusegun Balogun,House,APC,Lagos,Ibeju Lekki,Yes
83c56934-51bf-4f49-b3c4-ce4598d1620c,HB 2728,Hon Julius Ihonvbere,House,APC,Edo,Owan East/Owan West,Yes
04650e5d-65b5-45b9-aa4a-8a7b3e322055,SB 328,Sen. Orji Uzor Kalu,Senate,APC,Abia,,Yes
d712bc1e-d1cb-49b0-82ec-542d6d8e977b,HB 1290.,Hon Bamidele Salam,House,PDP,Osun,Ede North/Ede South/ Egbedore/Ejigbo,Yes
0317c87d-cfa5-4c05-bcef-7873bb0469c4,HB 995,Hon Sada Soli,House,APC,Katsina,Jibia/Kaita,Yes
599b2e08-4fe6-44a3-b2f0-b2f1096c426f,SB 119,Sen. Sunday Steve Karimi,Senate,APC,Kogi,,Yes
