SenatorID,By (Senator),Official Name,State,District,Images
35,Sen Francis Adenigba Fadahunsi,APC,Osun,Osun East,/data/legislator_images/sen_francis_adenigba_fadahunsi.jpg?v=11
36,Sen Garba Musa Maidoki,APC ,Kebbi,Kebbi South,/data/legislator_images/sen_garba_musa_maidoki.jpg?v=11
106,Sen. Godiya Akwashiki,Godiya Akwashiki,Nasarawa,Nassarawa North,/data/legislator_images/sen_godiya_akwashiki.jpg?v=11
37,Sen Godswill Akpabio,APC,Akwa Ibom,Akwa Ibom North-West,
38,Sen Ibrahim Dankwambo,PDP,Gombe,Gombe North,/data/legislator_images/sen_ibrahim_dankwambo.jpg?v=11
39,Sen Ibrahim Jimoh Folorunsho,APC,Ondo,Ondo South,/data/legislator_images/sen_ibrahim_jimoh_folorunsho.jpg?v=11
107,Sen. Ibrahim Lamido,ADC,Sokoto,Sokoto East,
40,Sen Ibrahim Mohammed Bomai,APC,Yobe,Yobe South,/data/legislator_images/sen_ibrahim_mohammed_bomai.jpg?v=11
41,Sen Ifeanyi Patrick Ubah,Ifeanyi Patrick Ubah,Anambra,Anambra South,/data/legislator_images/sen_ifeanyi_patrick_ubah.jpg?v=11
42,Sen Ikra Aliyu Bilbis,APC,Zamfara,Zamfara Central,/data/legislator_images/sen_ikra_aliyu_bilbis.jpg?v=11
43,Sen Imasuen Neda Bernards,APC,Edo,Edo South,
44,Sen Ipinsagba Emmanuel Olajide,APC,Ondo,Ondo North,/data/legislator_images/sen_ipinsagba_emmanuel_olajide.jpg?v=11
